year,crop,unit,date,quantity,donated
2022,Beets,bunch,2022-09-01,12,True
2022,Bok choy,bunch,2022-06-09,3,False
2022,Bok choy,bunch,2022-06-23,3,False
2022,Bok choy,bunch,2022-06-30,5,False
2022,Bok choy,bunch,2022-07-07,4,False
2022,Bok choy,bunch,2022-07-14,1,False
2022,Bok choy,bunch,2022-10-20,1,False
2022,Bok choy,bunch,2022-11-03,5,False
2022,Broccoli,head,2022-11-03,4,True
2022,Cabbage,#,2022-07-07,1,False
2022,Cabbage,#,2022-08-18,1,False
2022,Carrots,bunch,2022-08-11,1,False
2022,Carrots,bunch,2022-09-01,6,False
2022,Carrots,bunch,2022-09-08,8,False
2022,Carrots,bunch,2022-09-15,1,False
2022,Carrots,bunch,2022-11-03,6,False
2022,Corn,lb,2022-08-25,25,True
2022,Corn,lb,2022-09-01,20,True
2022,Cucumbers,#,2022-07-21,8,False
2022,Cucumbers,#,2022-07-28,20,False
2022,Cucumbers,#,2022-08-04,10,False
2022,Cucumbers,#,2022-08-11,14,False
2022,Cucumbers,#,2022-08-25,5,False
2022,Cucumbers,#,2022-09-01,2,False
2022,Cucumbers,#,2022-09-08,1,False
2022,Eggplant,#,2022-09-29,2,True
2022,Gai lan,bunch,2022-09-28,13,True
2022,Gai lan,bunch,2022-09-29,2,True
2022,Gai lan,bunch,2022-10-06,2,True
2022,"Greens, mixed",bunch,2022-06-09,9,False
2022,"Greens, mixed",bunch,2022-06-30,2,False
2022,Kale,bunch,2022-06-16,1,False
2022,Kale,bunch,2022-06-23,4,False
2022,Kale,bunch,2022-06-30,4,False
2022,Kale,bunch,2022-07-07,4,False
2022,Kale,bunch,2022-07-14,3,False
2022,Kale,bunch,2022-07-21,6,False
2022,Kale,bunch,2022-07-28,1,False
2022,Kale,bunch,2022-08-04,5,False
2022,Kale,bunch,2022-08-18,3,False
2022,Kale,bunch,2022-08-25,1,False
2022,Kale,bunch,2022-09-01,7,False
2022,Kale,bunch,2022-09-08,7,False
2022,Kale,bunch,2022-09-15,5,False
2022,Kale,bunch,2022-09-28,5,False
2022,Kale,bunch,2022-09-29,8,False
2022,Kale,bunch,2022-10-06,15,False
2022,Kale,bunch,2022-10-13,2,False
2022,Kale,bunch,2022-10-20,9,False
2022,Kale,bunch,2022-10-27,10,False
2022,Kale,bunch,2022-11-03,17,False
2022,Lettuce,bunch,2022-06-02,14,False
2022,Lettuce,bunch,2022-06-16,10,False
2022,Lettuce,bunch,2022-06-23,3,False
2022,Lettuce,bunch,2022-06-30,5,False
2022,Lettuce,bunch,2022-07-07,3,False
2022,Lettuce,bunch,2022-07-14,2,False
2022,Lettuce,bunch,2022-07-21,2,False
2022,Lettuce,bunch,2022-08-18,2,False
2022,Lettuce,bunch,2022-08-25,7,False
2022,Lettuce,bunch,2022-09-01,7,False
2022,Lettuce,bunch,2022-09-08,3,False
2022,Lettuce,bunch,2022-09-15,9,False
2022,Lettuce,bunch,2022-09-28,10,False
2022,Lettuce,bunch,2022-09-29,12,False
2022,Lettuce,bunch,2022-10-06,20,False
2022,Lettuce,bunch,2022-10-13,13,False
2022,Lettuce,bunch,2022-10-20,13,False
2022,Lettuce,bunch,2022-10-27,1,False
2022,Lettuce,bunch,2022-11-03,13,False
2022,Okra,bunch,2022-08-25,1,True
2022,Onions,#,2022-09-15,17,False
2022,Peas,pint,2022-06-09,1,False
2022,Peas,pint,2022-06-16,8,False
2022,Peas,pint,2022-06-23,10.5,False
2022,Peas,pint,2022-06-30,15,False
2022,Peas,pint,2022-07-04,3,False
2022,Peas,pint,2022-07-07,7,False
2022,Peppers,#,2022-09-08,5,True
2022,Peppers,#,2022-09-29,1,True
2022,Peppers,#,2022-10-13,5,True
2022,Peppers,#,2022-10-20,5,True
2022,Radishes,bunch,2022-06-09,3,False
2022,Radishes,bunch,2022-06-16,3,False
2022,Radishes,bunch,2022-06-30,1,False
2022,Radishes,bunch,2022-10-13,6,False
2022,Radishes,bunch,2022-10-20,4,False
2022,Rhubarb,bunch,2022-06-09,4,True
2022,Rhubarb,bunch,2022-06-16,3,True
2022,Rhubarb,bunch,2022-06-23,3,True
2022,Summer Squash,#,2022-07-04,7,False
2022,Summer Squash,#,2022-07-07,22,False
2022,Summer Squash,#,2022-07-11,10,False
2022,Summer Squash,#,2022-07-14,5,False
2022,Summer Squash,#,2022-07-21,22,False
2022,Summer Squash,#,2022-07-28,12,False
2022,Summer Squash,#,2022-08-04,15,False
2022,Summer Squash,#,2022-08-11,23,False
2022,Summer Squash,#,2022-08-18,7,False
2022,Summer Squash,#,2022-08-25,17,False
2022,Summer Squash,#,2022-09-01,10,False
2022,Summer Squash,#,2022-09-08,4,False
2022,Summer Squash,#,2022-09-15,12,False
2022,Summer Squash,#,2022-09-28,5,False
2022,Summer Squash,#,2022-09-29,4,False
2022,Summer Squash,#,2022-10-06,9,False
2022,Summer Squash,#,2022-10-13,5,False
2022,Summer Squash,#,2022-10-20,2,False
2022,Swiss Chard,bunch,2022-06-23,3,False
2022,Swiss Chard,bunch,2022-06-30,5,False
2022,Swiss Chard,bunch,2022-07-07,4,False
2022,Swiss Chard,bunch,2022-07-14,18,False
2022,Swiss Chard,bunch,2022-07-28,2,False
2022,Swiss Chard,bunch,2022-08-11,15,False
2022,Swiss Chard,bunch,2022-08-18,11,False
2022,Swiss Chard,bunch,2022-08-25,5,False
2022,Swiss Chard,bunch,2022-09-01,5,False
2022,Swiss Chard,bunch,2022-09-08,6,False
2022,Swiss Chard,bunch,2022-09-15,10,False
2022,Swiss Chard,bunch,2022-09-28,3,False
2022,Swiss Chard,bunch,2022-09-29,4,False
2022,Swiss Chard,bunch,2022-10-06,7,False
2022,Swiss Chard,bunch,2022-10-20,6,False
2022,Swiss Chard,bunch,2022-10-27,5,False
2022,Swiss Chard,bunch,2022-11-03,16,False
2022,Tatsoi,bunch,2022-09-08,12,True
2022,Tatsoi,bunch,2022-09-15,34,True
2022,Tatsoi,bunch,2022-09-28,8,True
2022,Tatsoi,bunch,2022-09-29,4,True
2022,Tatsoi,bunch,2022-10-06,3,True
2022,Tatsoi,bunch,2022-10-27,4,True
2022,"Tomatoes, cherry",pint,2022-08-04,8,False
2022,"Tomatoes, cherry",pint,2022-08-11,44,False
2022,"Tomatoes, cherry",pint,2022-08-18,5,False
2022,"Tomatoes, cherry",pint,2022-08-25,23,False
2022,"Tomatoes, cherry",pint,2022-09-01,13,False
2022,"Tomatoes, cherry",pint,2022-09-08,4,False
2022,"Tomatoes, cherry",pint,2022-09-15,18,False
2022,"Tomatoes, cherry",pint,2022-09-28,3.5,False
2022,"Tomatoes, cherry",pint,2022-09-29,6.5,False
2022,"Tomatoes, cherry",pint,2022-10-06,3,False
2022,"Tomatoes, cherry",pint,2022-10-13,12,False
2022,"Tomatoes, cherry",pint,2022-10-20,5,False
2022,"Tomatoes, cherry",pint,2022-11-03,1,False
2022,"Tomatoes, salad",lb,2022-08-18,62,False
2022,"Tomatoes, salad",lb,2022-08-25,23.5,False
2022,"Tomatoes, salad",lb,2022-09-29,5,False
2022,"Tomatoes, salad",lb,2022-10-06,4,False
2022,"Tomatoes, slicer",#,2022-07-21,2,False
2022,"Tomatoes, slicer",#,2022-07-28,33,False
2022,"Tomatoes, slicer",#,2022-08-04,64,False
2022,"Tomatoes, slicer",#,2022-08-11,86,False
2022,"Tomatoes, slicer",#,2022-08-18,90,False
2022,"Tomatoes, slicer",#,2022-08-25,151,False
2022,"Tomatoes, slicer",#,2022-09-01,47,False
2022,"Tomatoes, slicer",#,2022-09-08,10,False
2022,"Tomatoes, slicer",#,2022-09-15,8,False
2022,"Tomatoes, slicer",#,2022-09-28,33,False
2022,"Tomatoes, slicer",#,2022-09-29,30,False
2022,"Tomatoes, slicer",#,2022-10-06,6,False
2022,"Tomatoes, slicer",#,2022-10-13,45,False
2022,"Tomatoes, slicer",#,2022-10-20,22,False
2022,"Tomatoes, slicer",#,2022-11-03,10,False
2022,Turnips,bunch,2022-11-03,3,True
2022,Winter Squash,#,2022-09-28,3,True
2022,Winter Squash,#,2022-10-20,5,True
2022,Zucchini,#,2022-07-04,6,False
2022,Zucchini,#,2022-07-07,9,False
2022,Zucchini,#,2022-07-11,1,False
2022,Zucchini,#,2022-07-14,4,False
2022,Zucchini,#,2022-07-21,11,False
2022,Zucchini,#,2022-07-28,14,False
2022,Zucchini,#,2022-08-04,19,False
2022,Zucchini,#,2022-08-11,27,False
2022,Zucchini,#,2022-08-18,12,False
2022,Zucchini,#,2022-08-25,30,False
2022,Zucchini,#,2022-09-01,10,False
2022,Zucchini,#,2022-09-08,8,False
2022,Zucchini,#,2022-09-15,6,False
2022,Zucchini,#,2022-09-28,3,False
2022,Zucchini,#,2022-09-29,2,False
2022,Zucchini,#,2022-10-13,4,False
2022,Zucchini,#,2022-10-20,2,False
2023,Beets,bunch,2023-07-13,1,False
2023,Beets,bunch,2023-07-20,4,False
2023,Beets,bunch,2023-07-27,2,False
2023,Beets,bunch,2023-08-03,1,False
2023,Beets,bunch,2023-08-10,2,False
2023,Beets,bunch,2023-08-31,4,False
2023,Beets,bunch,2023-10-05,7,False
2023,Beets,bunch,2023-10-26,3,False
2023,Bok choy,bunch,2023-09-28,8,False
